convolution_series,n_convolution,n_dense,dense_series,accuracy,f1_score
Fibonacci,6,9,Prime Numbers,78.67233785,0.81483552
Fibonacci,6,9,Ramanujan Summation,78.60789185,0.715251726
Fibonacci,6,9,Triangular Numbers,77.53648505,0.715121375
Fibonacci,6,10,Fibonacci,82.09612028,0.825483601
Fibonacci,6,10,Square,82.06105527,0.782828847
Fibonacci,6,10,Cube,81.80511346,0.831382576
Fibonacci,6,10,Prime Numbers,81.56541287,0.7824364
Fibonacci,6,10,Ramanujan Summation,80.38462926,0.710144169
Fibonacci,6,10,Triangular Numbers,81.37935468,0.701343582
Fibonacci,6,11,Fibonacci,84.25728548,0.718424388
Fibonacci,6,11,Square,83.79772273,0.829102592
Fibonacci,6,11,Cube,84.43871429,0.855429841
Fibonacci,6,11,Prime Numbers,85.00405086,0.888468107
Fibonacci,6,11,Ramanujan Summation,86.4861859,0.838155267
Fibonacci,6,11,Triangular Numbers,84.77457781,0.854141929
Fibonacci,6,12,Fibonacci,87.65755039,0.794999183
Fibonacci,6,12,Square,87.32555408,0.766179209
Fibonacci,6,12,Cube,85.48122878,0.866503967
Fibonacci,6,12,Prime Numbers,87.37348612,0.844884038
Fibonacci,6,12,Ramanujan Summation,87.46023021,0.829372219
Fibonacci,6,12,Triangular Numbers,89.86324211,0.843368574
Fibonacci,6,13,Fibonacci,90.00763904,0.868159274
Fibonacci,6,13,Square,90.50154734,0.916190843
Fibonacci,6,13,Cube,90.16528823,0.916749279
Fibonacci,6,13,Prime Numbers,89.03132196,0.879211018
Fibonacci,6,13,Ramanujan Summation,91.34282281,0.894290144
Fibonacci,6,13,Triangular Numbers,90.95193303,0.877703128
Fibonacci,6,14,Fibonacci,93.79103195,0.856941513
Fibonacci,6,14,Square,92.09061255,0.917828234
Fibonacci,6,14,Cube,94.40279431,0.810275247
Fibonacci,6,14,Prime Numbers,91.59814894,0.932694578
Fibonacci,6,14,Ramanujan Summation,93.58685709,0.820273853
Fibonacci,6,14,Triangular Numbers,95.19045563,0.894290164
Fibonacci,6,15,Fibonacci,91.50946367,0.832742302
Fibonacci,6,15,Square,91.93370227,0.902669449
Fibonacci,6,15,Cube,92.59965137,0.873303739
Fibonacci,6,15,Prime Numbers,91.99652435,0.795262202
Fibonacci,6,15,Ramanujan Summation,90.94933657,0.896034982
Fibonacci,6,15,Triangular Numbers,92.56856297,0.846103961
Fibonacci,7,5,Fibonacci,69.53769629,0.700057336
Fibonacci,7,5,Square,71.07359243,0.656066284
Fibonacci,7,5,Cube,69.68057577,0.675771049
Fibonacci,7,5,Prime Numbers,72.14993441,0.608121552
Fibonacci,7,5,Ramanujan Summation,69.81674671,0.626533388
Fibonacci,7,5,Triangular Numbers,70.27793848,0.633068068
Fibonacci,7,6,Fibonacci,74.21351722,0.726835124
Fibonacci,7,6,Square,72.16913568,0.767868854
Fibonacci,7,6,Cube,73.62745993,0.643741412
Fibonacci,7,6,Prime Numbers,74.70714275,0.737842407
Fibonacci,7,6,Ramanujan Summation,71.79251677,0.575516129
Fibonacci,7,6,Triangular Numbers,73.58463386,0.62429053
Fibonacci,7,7,Fibonacci,76.45988279,0.664061077
Fibonacci,7,7,Square,76.98182287,0.644374566
Fibonacci,7,7,Cube,74.96304929,0.632820581
Fibonacci,7,7,Prime Numbers,74.87954339,0.732649946
Fibonacci,7,7,Ramanujan Summation,76.72194157,0.701296615
Fibonacci,7,7,Triangular Numbers,76.49698467,0.73097027
